runId,enableOfflineIntervention,enableOnlineIntervention,forgetTime,govForgetTime,initialOfflineSeeds,initialOnlineSeeds,interventionStartTime,kOffline,kOnline,latentTime,modelMode,offlineGovEffect,offlineRate,onlineGovEffect,onlineRate,pRewire,parameterFile,seedId
M0_T15_onfalse_offtrue_seed7_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362495756,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed7_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362495756.csv,7
M0_T15_onfalse_offtrue_seed8_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362511780,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed8_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362511780.csv,8
M0_T15_onfalse_offtrue_seed8_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362522706,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed8_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362522706.csv,8
M0_T15_onfalse_offtrue_seed9_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362540076,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed9_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362540076.csv,9
M0_T15_onfalse_offtrue_seed9_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362550390,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed9_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362550390.csv,9
M0_T15_ontrue_offfalse_seed10_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364502392,false,true,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_ontrue_offfalse_seed10_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364502392.csv,10
M0_T15_ontrue_offfalse_seed10_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364513983,false,true,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_ontrue_offfalse_seed10_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364513983.csv,10
M0_T15_ontrue_offfalse_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364536791,false,true,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_ontrue_offfalse_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364536791.csv,11
M0_T15_ontrue_offfalse_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364548565,false,true,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_ontrue_offfalse_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364548565.csv,11
M0_T15_ontrue_offfalse_seed12_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364571739,false,true,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_ontrue_offfalse_seed12_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364571739.csv,12
